id,x,y,z,D
493,60471.71,-24028.22,4278.28,1800.8
494,65066.52,-23009.36,4093.41,1031.9
495,63358.40,-25535.29,4228.35,1348.1
496,62204.62,-26002.27,4299.54,1081.0
497,74039.82,-26781.58,2327.36,1268.4
498,77940.56,-24486.11,2386.06,1329.5
499,80376.56,-26020.47,2285.47,1023.0
500,82197.36,-23564.28,2277.86,1175.5
501,83055.93,-20801.82,2613.96,1051.7
502,91562.75,-22778.90,2818.40,1851.7
503,94672.53,-24107.06,2881.58,1359.8
504,93077.08,-24355.72,2918.09,1669.3
505,93304.68,-26569.32,2818.96,1324.6
506,91337.41,-25504.97,2712.43,1510.6
507,87452.43,-19967.93,2834.34,1302.6
508,88387.62,-16062.28,2971.20,1760.3
509,80489.23,-16632.36,3226.69,3018.1
510,83161.84,-18127.30,3128.89,1376.5
511,76732.71,-18403.24,3518.38,2275.9
512,75146.27,-20938.27,3199.72,3145.7
513,73647.71,-19279.59,3599.16,1153.8
514,71288.34,-22757.67,3115.23,1049.7
515,70697.93,-19870.89,3308.47,7169.9
516,69325.57,-6031.31,4193.19,1114.1
517,70884.97,-627.69,4148.10,1661.5
518,68419.68,1613.20,4247.93,1149.9
519,70749.76,3190.02,4049.61,1114.5
520,69742.46,906.67,4271.31,1667.5
521,67818.00,-2331.87,3276.83,6293.0
522,74084.89,-7201.80,3785.25,2655.9
523,80563.59,-7656.65,3168.00,1453.0
524,81798.49,5497.62,3262.93,2098.3
525,81516.81,6807.59,3257.88,1683.0
526,78001.41,6971.34,3639.95,1430.7
527,76525.39,6686.30,3806.45,1499.5
528,76926.50,5746.27,3728.20,1573.3
529,78089.29,4915.42,3555.24,1130.2
530,79714.04,7450.45,3397.66,1923.3
531,75943.99,2316.70,3564.18,1553.3
532,77593.53,-1225.06,3366.55,1120.3
533,76854.39,-2068.05,3598.21,1720.0
534,75301.76,-2550.19,3910.84,1572.8
535,76309.05,-4985.16,3872.76,1344.8
536,81514.56,-5039.74,3118.43,1494.8
537,87652.99,421.49,2938.67,4068.2
538,91402.76,2768.52,3000.01,1818.5
539,89345.34,8748.29,3033.14,1579.4
540,88047.35,8626.99,3007.03,1924.9
541,86708.79,8799.84,3110.70,1405.4
542,93397.07,1643.53,2943.57,2173.4
543,93232.57,148.58,3046.18,1749.0
544,92051.75,-3465.96,2945.06,1650.7
545,86832.73,-6477.07,2979.04,1669.2
546,89784.77,-8630.03,2557.42,2229.2
547,82920.72,-10534.33,2966.69,1933.0
548,82566.92,-7780.97,3040.10,2175.4
549,79698.26,-2204.51,3174.32,1139.6
550,79369.26,-8435.96,3270.17,1889.3
551,80489.23,-12262.76,3251.36,1131.0
552,80752.89,-13712.22,3324.69,1671.0
553,78517.45,-13069.36,3551.36,1210.4
554,78774.34,-14248.94,3513.13,1862.0
555,74718.11,-13666.73,3867.07,1126.6
556,76173.85,-11350.03,3711.48,1434.7
557,88042.84,-12478.06,2911.50,4906.7
558,93685.52,-11377.32,2827.79,1870.1
559,95997.57,-16141.12,2823.82,2187.9
560,97000.36,-14070.03,2844.45,2993.1
561,97867.95,-3044.46,2974.87,1281.3
562,98798.63,369.94,2846.38,2060.3
563,82255.95,-4266.50,3117.75,1254.2
